,epoch,common:age_loss,common:age_accuracy,common:apparel_class_loss,common:apparel_class_accuracy,common:color_loss,common:color_accuracy,common:gender_loss,common:gender_accuracy,common:material_loss,common:material_accuracy,loss,val_common:age_loss,val_common:age_accuracy,val_common:apparel_class_loss,val_common:apparel_class_accuracy,val_common:color_loss,val_common:color_accuracy,val_common:gender_loss,val_common:gender_accuracy,val_common:material_loss,val_common:material_accuracy,val_loss,common:apparel_class_randomguess,common:color_randomguess,common:material_randomguess,common:age_randomguess,common:gender_randomguess
0,0,0.7105876207351685,0.7607816922857421,1.3384017944335938,0.3505364060401916,3.01319432258606,0.21670526899418943,0.6982316970825195,0.5483568198804004,3.048286437988281,0.2714875221423563,1.7970291376113892,0.7000182271003723,0.7482269433267563,1.2710217237472534,0.413667619228363,2.74265456199646,0.23924143704769796,0.6567302942276001,0.5811137955716962,3.049717903137207,0.2491103232278091,1.7161370515823364,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
1,1,0.6602979302406311,0.7574123777147883,1.2799968719482422,0.4090539515018463,2.6665918827056885,0.2540532654948363,0.6503346562385559,0.6342722819444719,2.9538824558258057,0.2659249942734361,1.6743497848510742,0.6304885745048523,0.7695035747919523,1.2340515851974487,0.4450060725212097,2.4671263694763184,0.27498176089609566,0.6383728981018066,0.6464891187648212,2.90877103805542,0.2553380862262854,1.605506420135498,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
2,2,0.6421511769294739,0.7634771192330867,1.2527995109558103,0.4299008548259735,2.453446626663208,0.2764910220685692,0.6449989080429077,0.6126760505174808,2.88551926612854,0.27184639649996095,1.6055406332015991,,0.7517730267916574,1.1991971731185913,0.4710877537727356,2.3612632751464844,0.31218089431763363,0.6061652898788452,0.661016943578137,2.895316362380981,0.25444839408892955,,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
3,3,0.6164812445640564,0.7796496191436053,1.2117303609848022,0.4652145504951477,2.3363211154937744,0.2953097805096083,0.6351819634437561,0.6314554140041684,2.83804988861084,0.2725641452151694,1.555767297744751,0.6302379369735718,0.7695035747919523,1.153462290763855,0.5070764422416687,2.2331907749176025,0.32530999232564506,0.6525176763534546,0.6246973146249243,2.880709409713745,0.2491103232278091,1.5354700088500977,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
4,4,0.6303035616874695,0.7742587652489179,1.1822794675827026,0.487402468919754,2.259907960891724,0.3109438280253031,0.6320825219154358,0.6276995326991373,2.80775785446167,0.27238471626101685,1.5292294025421145,0.609137773513794,0.7588652590593543,1.1538289785385132,0.4995956420898437,2.192695379257202,0.32093361736343845,0.6096282005310059,0.6779661097047397,2.848207950592041,0.25444839408892955,1.508844256401062,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
5,5,0.6109064221382141,0.7749325910989802,1.1578465700149536,0.5013003945350647,2.2125282287597656,0.32252461674176114,0.6118735671043396,0.659154931032601,2.782379627227783,0.27238471626101685,1.5015034675598145,0.6016001105308533,0.7730496582568533,1.1171923875808716,0.5272947549819946,2.2231314182281494,0.30415754917979143,0.6859025955200195,0.5956416649982937,2.8638527393341064,0.2606761570874055,1.5225613117218018,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
6,6,0.6082801222801208,0.769541798977838,1.1358401775360107,0.510890781879425,2.1607887744903564,0.32817024427407304,0.6173475384712219,0.6539906157574181,2.7549028396606445,0.2801004738262648,1.4807809591293335,0.6346198320388794,0.7588652590593543,1.098471999168396,0.5339668393135071,2.1267123222351074,0.3603209382660801,0.5936240553855896,0.6707021749914402,2.81473445892334,0.26601422794852597,1.478024125099182,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
7,7,0.587645947933197,0.7803234449936692,1.1261504888534546,0.5180835723876953,2.1205644607543945,0.3390272121313476,0.6094314455986023,0.6455399258595673,2.738774061203003,0.2754351400760051,1.461639642715454,,0.7695035747919523,1.071267008781433,0.548928439617157,2.0758819580078125,0.3515681883416672,0.5775290131568909,0.6924939345180555,2.8170650005340576,0.26779359583063456,,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
8,8,0.5806292295455933,0.7756064787225893,1.1152315139770508,0.5224317312240601,2.077040672302246,0.3469890027151122,0.6080017685890198,0.652112675104902,2.719569206237793,0.27507626571840044,1.444668173789978,0.6173412203788757,0.7765957417217545,1.067019820213318,0.5553982853889465,2.0589921474456787,0.35229759312823755,0.6111810207366943,0.6682808782914352,2.770596027374268,0.26779359583063456,1.447932243347168,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
9,9,0.5666372776031494,0.7789757315199961,1.099358081817627,0.5304778814315796,2.0377132892608643,0.35191083592904665,0.6079725027084351,0.6497652708084928,2.7055435180664062,0.27938272511105583,1.4274468421936035,0.6690118312835693,0.7730496582568533,1.0586602687835691,0.5604528784751892,2.0598995685577397,0.36688547383078157,0.6490880250930786,0.619854721224914,2.7871382236480717,0.2588967892052969,1.4661905765533447,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
10,10,0.5886320471763611,0.7850404112647476,1.087946891784668,0.5394993424415588,2.023601531982422,0.3559640947282831,0.6040922999382019,0.668075127612816,2.681589126586914,0.2795621869638065,1.4206523895263672,,0.7695035747919523,1.043778896331787,0.56570965051651,2.001685857772827,0.35375637582277053,0.6047950387001038,0.6731234716914466,2.770789861679077,0.2624555085769114,,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
11,11,,0.787735838212092,1.072953462600708,0.5464889407157898,1.9921644926071167,0.3662420483635004,0.5928667783737183,0.6511737047786446,2.6577486991882324,0.28063879358732063,,0.5798120498657227,0.7765957417217545,1.0309621095657349,0.5796603560447693,2.0099191665649414,0.3690736613118845,0.5862914323806763,0.7021791659313588,2.7914655208587646,0.26690392008588176,1.4222297668457031,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
12,12,,0.7890835516857635,1.073004961013794,0.5452291965484619,1.9607203006744385,0.3768095091097464,0.599718451499939,0.6765258175106668,2.663609981536865,0.2831508976412526,,0.5980972051620483,0.7695035747919523,1.0298374891281128,0.5725839138031006,2.02844500541687,0.36980306609845526,0.6323445439338684,0.6440677774515332,2.785804748535156,0.26779359583063456,1.4364970922470093,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
13,13,0.5699892044067383,0.7938005179568435,1.0682592391967771,0.5471797585487366,1.932256102561951,0.3810075214644975,0.5931962132453918,0.6751173835405162,2.6364543437957764,0.2792032961569032,1.3826197385787964,0.6290184259414673,0.7588652590593543,1.0353189706802368,0.5683380365371704,1.9824795722961424,0.3595915334795094,0.594762921333313,0.6779661097047397,2.770603656768799,0.26779359583063456,1.424117922782898,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
14,14,,0.782344984317403,1.0601587295532229,0.5517717599868774,1.9147709608078003,0.3799942200350912,0.5943951606750488,0.6647887529901493,2.6319026947021484,0.29140499141685544,,0.5848987698554993,0.7765957417217545,1.046208143234253,0.5606550574302673,2.00422739982605,0.3603209382660801,0.5684503316879272,0.6779661097047397,2.802757740020752,0.25711743771579093,1.4244093894958496,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
15,15,0.5610196590423584,0.7884097258357012,1.0462907552719116,0.5617685317993164,1.8818904161453247,0.3879559840780498,0.584696888923645,0.6868544480610336,2.617513656616211,0.28440696611751787,1.3601796627044678,0.5457088947296143,0.7836879739894514,1.0177093744277954,0.5725839138031006,1.9301398992538448,0.38001459871740073,0.588890790939331,0.6731234716914466,2.7830793857574463,0.26156583283215823,1.3948794603347778,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
16,16,0.5279655456542969,0.7870620123620299,1.0368478298187256,0.5649382472038269,1.841233849525452,0.40243195006801813,0.582843005657196,0.689201895395914,2.590297222137451,0.29068724270164653,1.337527871131897,0.6010376214981079,0.7943262243841547,1.006006121635437,0.5909826159477234,1.9389933347702024,0.3785557891442597,0.6075744032859802,0.6731234716914466,2.76313591003418,0.2731316666917546,1.4040216207504272,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
17,17,0.5560200810432434,0.7890835516857635,1.0420578718185425,0.5601024031639099,1.8525489568710327,0.3938911452621962,0.5874763131141663,0.6784037581631829,2.57849383354187,0.2872779609783531,1.3448513746261597,0.5462857484817505,0.7836879739894514,1.012889385223389,0.5770319700241089,1.869695067405701,0.382202759319896,0.5956547260284424,0.6658595815914301,2.747070789337158,0.25444839408892955,1.3752639293670654,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
18,18,0.5262349247932434,0.7931266921067812,1.0275256633758545,0.5700178742408752,1.8300905227661133,0.3960625282173287,0.5807889699935913,0.6924882700185819,2.5670480728149414,0.29463484418599634,1.3277919292449951,0.5768070816993713,0.7553191755944532,0.9989972710609436,0.5887585878372192,1.902470707893372,0.3924142919388415,0.5525075793266296,0.6924939345180555,2.7454800605773926,0.25800711346054367,1.3767765760421753,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
19,19,0.5317373871803284,0.7991913718515326,1.021824836730957,0.5713589191436768,1.8227165937423704,0.40489286667498536,0.5733090043067932,0.6962441513236142,2.546572208404541,0.28853399655602024,1.3205945491790771,0.539584755897522,0.7695035747919523,0.9900577664375304,0.5909826159477234,1.8794306516647337,0.39679066690104775,0.5806036591529846,0.6464891187648212,2.766794919967652,0.2731316666917546,1.3722186088562012,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
20,20,0.5226097702980042,0.7904312651594366,1.0181957483291626,0.572496771812439,1.804926514625549,0.4059061946451973,0.571384608745575,0.6877934183872922,2.529040575027466,0.2955320218553578,1.3104838132858276,0.5931317210197449,0.7446808598618552,0.9860683679580688,0.5928022861480713,1.9338812828063965,0.3814733814119334,0.5710359215736389,0.7021791659313588,2.7715320587158203,0.26512455220377273,1.392141819000244,0.25,0.030303030303030304,0.029411764705882353,0.3333333333333333,0.5
