,epoch,common:apparel_class_loss,common:apparel_class_accuracy,common:gender_loss,common:gender_accuracy,loss,val_common:apparel_class_loss,val_common:apparel_class_accuracy,val_common:gender_loss,val_common:gender_accuracy,val_loss,common:apparel_class_randomguess,common:gender_randomguess
0,0,1.3153059482574463,0.3690853118896484,0.6808344125747681,0.5704918165117571,1.0061908960342407,1.2248413562774658,0.4500100910663605,0.6609857082366943,0.5893719643264429,0.9501309394836426,0.25,0.5
1,1,1.2243447303771973,0.4566593766212463,0.6639901995658875,0.6103044623932176,0.9513399600982666,1.1540347337722778,0.5071702599525452,0.6375924348831177,0.6231883874136032,0.9024239182472228,0.25,0.5
2,2,1.1616065502166748,0.5002840757369995,0.6494404077529907,0.6234191935675194,0.912079095840454,1.0689854621887207,0.5503938794136047,0.6176759600639343,0.6932367178372996,0.8491072654724121,0.25,0.5
3,3,1.1237952709197998,0.5208992958068848,0.6418189406394958,0.624824335658159,0.8889761567115784,1.055030345916748,0.5530195832252502,0.6368066072463989,0.6521739311030362,0.8512719869613647,0.25,0.5
4,4,1.0719199180603027,0.551456868648529,0.633716344833374,0.6360655583772781,0.8584273457527161,1.0247575044631958,0.5768531560897827,0.5987614393234253,0.6859903541901977,0.8172121644020081,0.25,0.5
5,5,1.0519322156906128,0.5602629780769348,0.6329582929611206,0.647306781096396,0.8478081822395325,0.9892314672470092,0.5996768474578857,0.624147355556488,0.6328502353100809,0.8113625049591064,0.25,0.5
6,6,1.0394339561462402,0.5674052238464355,0.6329772472381592,0.650117108274678,0.8414085507392883,0.9777064323425292,0.6039183735847473,0.6200477480888367,0.6400965989571827,0.803455114364624,0.25,0.5
7,7,1.0039494037628174,0.580756425857544,0.6244519948959351,0.6416861697368369,0.8190580606460571,0.9711478352546692,0.6061401963233948,0.6188483834266663,0.6956521575361626,0.7995075583457947,0.25,0.5
8,8,0.9964043498039246,0.5888726711273193,0.615110456943512,0.6496486989131296,0.8106377124786377,0.9454230666160583,0.6172490119934082,0.6005920767784119,0.6642512186983781,0.777421236038208,0.25,0.5
9,9,0.9851154685020448,0.5937018394470215,0.6190655827522278,0.654800943908144,0.8067759871482849,0.925281822681427,0.6350232362747192,0.6280814409255981,0.6280193113618421,0.7804856896400452,0.25,0.5
10,10,0.9718377590179444,0.6000730395317078,0.6099949479103088,0.6637002488105295,0.7955475449562073,0.9502840638160706,0.6192688345909119,0.5805834531784058,0.6884057938890608,0.7701659798622131,0.25,0.5
11,11,0.9610722661018372,0.6034412980079651,0.6078582406044006,0.6627634730844355,0.7889866232872009,0.9046868085861206,0.640476644039154,0.5935057997703552,0.6980676417855385,0.7530794739723206,0.25,0.5
12,12,0.9460462331771852,0.614316999912262,0.6174795627593994,0.6604215552677031,0.7859684228897095,0.8969810605049133,0.6366390585899353,0.626830518245697,0.6666666583972412,0.7653637528419495,0.25,0.5
13,13,0.9339203834533693,0.6169548034667969,0.6043506860733032,0.6786885314370206,0.773353636264801,0.8863276839256287,0.6433044075965881,0.6157243251800537,0.6787439459925819,0.7544897198677063,0.25,0.5
14,14,0.9322726726531982,0.6190244555473328,0.6048563718795776,0.662295063722887,0.7727553844451904,0.8892425894737244,0.6350232362747192,0.5764447450637817,0.7028985657337773,0.736847460269928,0.25,0.5
15,15,0.919975996017456,0.626937747001648,0.6056419610977173,0.6580796374509705,0.7668322324752808,0.8588826060295105,0.6612805724143982,0.5685809254646301,0.6908212781384365,0.7174474000930786,0.25,0.5
16,16,0.9157079458236694,0.6252739429473877,0.6061380505561829,0.6740046958035545,0.764885663986206,0.8723931312561035,0.6493637561798096,0.5946556329727173,0.67149758234548,0.7370792627334595,0.25,0.5
17,17,0.9022964835166932,0.6302248239517212,0.603891134262085,0.678220122075471,0.7569131255149841,0.8461694121360779,0.6675419211387634,0.6129292249679565,0.6618357344490023,0.7325347661972046,0.25,0.5
18,18,0.9079386591911316,0.6255174279212952,0.6119754910469055,0.667915675082446,0.7637453675270081,0.8643338680267334,0.6544132232666016,0.6113902926445007,0.6666666583972412,0.7410999536514282,0.25,0.5
19,19,0.8869343400001526,0.6376917362213135,0.5888895392417908,0.680093673527659,0.7417271733283997,0.8449505567550659,0.6560291051864624,0.6001827120780945,0.6763285062937189,0.7256996631622314,0.25,0.5
